"Surface Water Quality - Tributaries  March 2012- March 2015 - Tributaries x Sites (xxxx M3, M4, M5, M6, M7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data File Name ,TributaryWaterQuality-LTWQM-Nutrients-2012-2015-v1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date File Generated ,2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Context Note,"Water quality of tributaries in the Athabasca River oil sands region is heavily influenced by the presence of the underlying Cretaceous bedrock, which is comprised of shale, sandstone and limestone. The waters are moderately hard (average alkalinity of 114 mg l-1  CaCO3) because of their mineral content, particularly magnesium (average 8.62 mg l-1), calcium (average 28.06 mg l-1) and bicarbonate (138.53 mg l-1).  This mineral content results in an average conductivity of 245? 4 ?S cm-1 and total dissolved solids concentration of 140 ? 2 ppm.  Concentrations of nitrogen and phosphorus (indicators of nutrient status) are typically low to moderate, averaging 0.14 mg l-1 total phosphorus, 0.03 mg l-1 total dissolved phosphorus, 0.92 mg l-1 total nitrogen, 0.09 mg l-1 nitrogen as nitrate+nitrite, and 0.04 mg l-1 nitrogen as total ammonia.

Seasonal variation for the majority of water quality constituents within the Athabasca tributaries can be strong and is highly reflective of hydrological discharge (i.e., highest concentrations typically occur during snowmelt periods, especially for parameters that are bound to particulate matter).  Spatial variation of parameters within tributaries general showed an increasing trend from upstream of development to samples collected downstream of development (near mouth of a tributary).

Of the 45 water quality constituents (physical characteristics, major ions, metals, metalloids, selenium) and 52 Polycyclic Aromatic Compounds (PACs) analyzed, 28 have Guidelines for the Protection of Aquatic Life (Canadian Council of Ministers of the Environment – CCME). Only a few parameters were classified with frequent exceedances (i.e., >10% of of the approximately 1430 samples): total iron, 99% of all samples; total aluminum, 61%; total suspended solids, 39%; and total copper, 17%.  All measurements of total mercury were below the CCME guideline; only pyrene from the PACs showed occasional exceedances (2% of samples) for established guidelines.  Exceedances of guidelines are not uncommon in many river systems within and outside of the Oil Sands region and, in general, are associated with high flow events when suspended solids and contaminant loads are the greatest. High concentrations of suspended sediment (measured as total suspended solids) were observed during high flow events, such as occur during snowmelt and summer rainfall events.  The high percentage of exceedances for iron was expected as these waters are known to have naturally-occurring high concentrations of iron. (December 2016)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organization Name,Environment and Climate Change Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organization Contact Information,"200 Sacre-Coeur Blvd, Gatineau, Quebec,  K1A 0H3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,enviroinfo@canada.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program,Joint Canada-Alberta Implementation Plan for Oil Sands Monitoring (JOSM) Water Implementation Plan Activities - Surface Water Quality - Tributary Water Quality (http://www.publications.gc.ca/site/eng/436043/publication.html),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal Investigator,Patricia Chambers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal Investigator Affiliation,"Environment and Climate Change Canada, Science and Technology Branch, Water Science and Technology Directorate, Watershed Hydrology and Ecology Research Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
